movie_title,release_date,hero,villian,song
Snow White and the Seven Dwarves,12/21/1937,Snow White,Evil Queen,Some Day My Prince Will Come
Pinnocchio,2/7/1940,Pinocchio,Stromboli,When You Wish upon a Star
Fantasia,11/13/1940,,Chernabog,
Dumbo,10/23/1941,Dumbo,Ringmaster,Baby Mine
Bambi,8/13/1942,Bambi,Hunter,Love Is a Song
Saludos Amigos,2/6/1943,Donald Duck,,Saludos Amigos
The Three Caballeros,2/3/1945,Donald Duck,,
Make Mine Music,4/20/1946,,,
Fun and Fancy Free,9/27/1947,Mickey Mouse,Willie the Giant,
Melody Time,5/27/1948,,,Little Toot
"
The Adventures of Ichabod and Mr. Toad",10/5/1949,Mr. Toad and Ichabod Crane,Mr. Winkie and The Headless Horseman,The Merrily Song
Cinderella,2/15/1950,Cinderella,Lady Tremaine,Bibbidi-Bobbidi-Boo
"
Alice in Wonderland",7/28/1951,Alice,Queen of Hearts,The Unbirthday Song
"
Peter Pan",2/5/1953,Peter Pan,Captain Hook,You Can Fly!
"
Lady and the Tramp",6/22/1955,Lady and Tramp,Si and Am,Bella Notte
Sleeping Beauty,1/29/1959,Aurora,Maleficent,Once Upon a Dream
One Hundred and One Dalmations,1/25/1961,Pongo,Cruella de Vil,Cruella De Vil
"
The Sword in the Stone",12/25/1963,Arthur,Madam Mim,"Higitus Figitus
"
The Jungle Book,10/18/1967,Mowgli,Kaa and Shere Khan,"The Bare Necessities
"
The Aristocats,12/24/1970,Thomas and Duchess,Edgar Balthazar,Ev'rybody Wants to Be a Cat
"
Robin Hood",11/8/1973,Robin Hood,Prince John,Oo De Lally
"
The Many Adventures of Winnie the Pooh",3/11/1977,Winnie the Pooh,,Winnie the Pooh
"
The Rescuers",6/22/1977,Bernard and Miss Bianca,Madame Medusa,The Journey
"
The Fox and the Hound",7/10/1981,Tod and Copper,Amos Slade,Best of Friends
"
The Black Cauldron",7/24/1985,Taran,Horned King,
"
The Great Mouse Detective",7/2/1986,Basil,Professor Ratigan,The World's Greatest Criminal Mind
"
Oliver & Company",11/18/1988,Oliver,Sykes,Once Upon a Time in New York City
The Little Mermaid,11/17/1989,Ariel,Ursula,Under the Sea
"
The Rescuers Down Under",11/16/1990,Bernard and Miss Bianca,Percival C. McLeach,"
"
Beauty and the Beast,11/22/1991,Belle,Gaston,Be Our Guest
"
Aladdin",11/25/1992,Aladdin,Jafar,A Whole New World
"
The Lion King",6/24/1994,Simba,Scar,Circle of Life
Pocahontas,6/23/1995,Pocahontas,Governor Ratcliffe,Colors of the Wind
"
The Hunchback of Notre Dame",6/21/1996,Quasimodo,Claude Frollo,God Help the Outcasts
"
Hercules",6/27/1997,Hercules,Hades,Go the Distance
"
Mulan",6/19/1998,Mulan,Shan Yu,"I'll Make a Man Out of You
"
Tarzan,6/18/1999,Tarzan,Clayton,You'll Be in My Heart
"
Fantasia 2000",12/17/1999,,,
"
Dinosaur",5/19/2000,Aladar,Kronk,
"
The Emperor's New Groove",12/15/2000,Kuzco,Yzma,"My Funny Friend and Me
"
Atlantis: The Lost Empire,6/15/2001,Milo Thatch,Commander Rourke,Where the Dream Takes You
"
Lilo & Stitch",6/21/2002,Lilo and Stitch,,"He Mele No Lilo
"
Treasure Planet,11/27/2002,Jim Hawkins,John Silver,"I'm Still Here
"
Brother Bear,11/1/2003,Kenai,Denahi,Look Through My Eyes
"
Home on the Range",4/2/2004,Maggie,Alameda Slim,
"
Chicken Little",11/4/2005,Ace Cluck,Foxy Loxy,
"
Meet the Robinsons",3/30/2007,Lewis,Doris,Little Wonders
"
Bolt",11/21/2008,Bolt,Dr. Calico,I Thought I Lost You
"
The Princess and the Frog",12/11/2009,Tiana,Dr. Facilier,Almost There
"
Tangled",11/24/2010,Rapunzel,Mother Gothel,I See the Light
"
Winnie the Pooh",7/15/2011,Winnie the Pooh,,"Winnie the Pooh
"
Wreck-It Ralph,11/2/2012,Ralph,Turbo,Sugar Rush
"
Frozen",11/27/2013,Elsa,Prince Hans,"Let It Go
"
Big Hero 6,11/7/2014,Hiro Hamada,Professor Callaghan,Immortals
"
Zootopia",3/4/2016,Judy Hopps,,Try Everything
"
Moana",11/23/2016,Moana,,"How Far I'll Go
"
